order,hiragana,kanji,meaning,category,example,romaji,level
112,いる,要る,to need,action,ふくろは  いりません。I do not need a bag.,iru,2
113,いれる,入れる,to put in,action,コーヒーに クリームを 入れますか。Would you like to add cream to your coffee?,ireru,2
114,いろ,色,colour,color,どんな いろが すきですか。What kind of color do you like?,iro,1
115,いろいろ,,various,naadj,この ビルの なかには いろいろな みせが あります。There are various shops in this building.,iroiro,1
116,うーん,,"Well, Let me see.",sentence,,uun,1
117,うえ,上,on top of,direction,めがねは つくえの 上に あります。The glasses are on the desk.,ue,1
118,うしろ,後ろ,behind,direction,モニターの 後ろに スイッチが あります。There is a switch on the back of the monitor.,ushiro,1
119,うすい,薄い,"thin, weak",iadj,このほんは うすいです。This book is thin.,usui,2
120,うた,歌,song,activity,これは いい うたですね。 This is a good song.,uta,1
121,うたう,歌う,to sing,action,カラオケで にほんごの うたを うたいました。I sang a Japanese song at karaoke.,utau,2
122,うち,家,home,places,うちは どこですか。Where is your home?,uchi,1
123,うまれる,生まれる,to be born,action,"せんげつ あかちゃんが 生まれました。Last month, a baby was born.",umareru,2
124,うみ,海,sea,nature,やまより うみが すきです。I like the sea better than the mountains.,umi,1
125,うる,売る,to sell,action,Amazonで うっています。It is sold on Amazon.,uru,2
126,うるさい,煩い,"noisy, annoying",iadj,ちかてつの なかは うるさいです。It's noisy in the subway.,urusai,2
127,うれしい,嬉しい,"happy, pleased [i-adj.]",iadj,とても うれしいです。I am very happy.,ureshii,2
128,うわぎ,上着,jacket,wearables,みせに うわぎを わすれました。I forgot my jacket at the store.,uwagi,1
129,え,絵,picture,activity,かのじょは えが じょうずです。She is good at painting.,e,1
130,エアコン,,air conditioner,home,わたしの うちには エアコンが ５だい あります。There are 5 air conditioners in my house.,eakon,1
131,えいが,映画,movie,activity,きのう ともだちと えいがを みました。I watched a movie with my friends yesterday.,eiga,1
132,えいがかん,映画館,cinema,places,あたらしい えいがかんに いきました。I went to a new movie theater.,eigakan,1
133,えいご,英語,English language,intangible,えいごで はなしても いいですか。May I speak in English?,eigo,1
134,ええ,,yes,sentence,,ee,1
135,えき,駅,station,unit,めぐろ駅から あるいて ３ぷんぐらいです。It's about 3 minutes walk from Meguro station.,eki,4
136,えらぶ,選ぶ,choose,action,いちばん いいものを えらびます。Choose the best one.,erabimasu,3
137,エレベーター,,elevator,manmade,エレベーターは どこに ありますか。Where is the elevator?,erebeetaa,1
138,えんぴつ,鉛筆,pencil,stationery,えんぴつで かいても いいですか。Can I write it in pencil?,enpitsu,1
